Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,age,audiofile,Condition_Id,copy_of_factor1_tg1_task3_2585,copy_of_factor1_tg1_task3_75eb,ease,edu,factor1_tg1_task3,imphear,interest,L1,notes,prep,prolific,q1,q2,q3,self,test
624868,1,1,sil_ns,1,instructions,1,"","",1,"","","","","","","","","","",60d9ce9737af4d27b6640d37,"","","","",""
624868,1,1,sil_ns,1,silence,2,"",engl310_01_sil.wav,1,engl310_01_sil,"","","","","","","","","","",1,1,"","",""
624868,2,2,sil_ns,1,silence,2,"",engl310_07_sil.wav,2,engl310_07_sil,"","","","","","","","","","",4,2,"","",""
624868,3,4,sil_ns,1,silence,2,"",engl310_24_sil.wav,4,engl310_24_sil,"","","","","","","","","","",1,4,"","",""
624868,4,3,sil_ns,1,silence,2,"",engl310_13_sil.wav,3,engl310_13_sil,"","","","","","","","","","",1,4,"","",""
624868,1,1,sil_ns,1,questionnaire,3,31,"",1,"","",4,uni,"",no,3,eng,no,5,"","","","",adv,none
624868,1,1,sil_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
624871,1,1,nopints_ns,1,instructions,1,"","",1,"","","","","","","","","","",6123f0e37bc1548cd95a301f,"","","","",""
624871,1,4,nopints_ns,1,nopints,2,"",engl310_24_nopints.wav,4,"",engl310_24_nopints,"","","","","","","","","",2,4,"","",""
624871,2,1,nopints_ns,1,nopints,2,"",engl310_01_nopints.wav,1,"",engl310_01_nopints,"","","","","","","","","",1,1,"","",""
624871,3,2,nopints_ns,1,nopints,2,"",engl310_07_nopints.wav,2,"",engl310_07_nopints,"","","","","","","","","",4,2,"","",""
624871,4,3,nopints_ns,1,nopints,2,"",engl310_13_nopints.wav,3,"",engl310_13_nopints,"","","","","","","","","",1,4,"","",""
624871,1,1,nopints_ns,1,questionnaire,3,22,"",1,"","",4,hs,"",no,3,eng,no,3,"","","","",int,none
624871,1,1,nopints_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
624876,1,1,original_ns,1,instructions,1,"","",1,"","","","","","","","","","",60a0dad69b11b18f4344cb2,"","","","",""
624876,1,1,original_ns,1,original,2,"",engl310_01_orig.wav,1,"","","","",engl310_01_orig,"","","","","","",1,1,"","",""
624876,2,4,original_ns,1,original,2,"",engl310_24_orig.wav,4,"","","","",engl310_24_orig,"","","","","","",3,4,"","",""
624876,3,2,original_ns,1,original,2,"",engl310_07_orig.wav,2,"","","","",engl310_07_orig,"","","","","","",1,4,"","",""
624876,4,3,original_ns,1,original,2,"",engl310_13_orig.wav,3,"","","","",engl310_13_orig,"","","","","","",2,4,"","",""
624876,1,1,original_ns,1,questionnaire,3,44,"",1,"","",3,uni,"",no,3,eng,no,2,"","","","",int,none
624876,1,1,original_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
624877,1,1,original_ns,1,instructions,1,"","",1,"","","","","","","","","","",593890eac6aa16000101f037,"","","","",""
624877,1,4,original_ns,1,original,2,"",engl310_24_orig.wav,4,"","","","",engl310_24_orig,"","","","","","",1,4,"","",""
624877,2,2,original_ns,1,original,2,"",engl310_07_orig.wav,2,"","","","",engl310_07_orig,"","","","","","",4,4,"","",""
624877,3,1,original_ns,1,original,2,"",engl310_01_orig.wav,1,"","","","",engl310_01_orig,"","","","","","",1,3,"","",""
624877,4,3,original_ns,1,original,2,"",engl310_13_orig.wav,3,"","","","",engl310_13_orig,"","","","","","",1,4,"","",""
624877,1,1,original_ns,1,questionnaire,3,25,"",1,"","",2,uni,"",no,4,eng,no,1,"","","","",adv,none
624877,1,1,original_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
624878,1,1,sil_ns,1,instructions,1,"","",1,"","","","","","","","","","",605cd2aefa163d506547bb2d,"","","","",""
624878,1,4,sil_ns,1,silence,2,"",engl310_24_sil.wav,4,engl310_24_sil,"","","","","","","","","","",3,4,"","",""
624878,2,1,sil_ns,1,silence,2,"",engl310_01_sil.wav,1,engl310_01_sil,"","","","","","","","","","",1,1,"","",""
624878,3,2,sil_ns,1,silence,2,"",engl310_07_sil.wav,2,engl310_07_sil,"","","","","","","","","","",4,4,"","",""
624878,4,3,sil_ns,1,silence,2,"",engl310_13_sil.wav,3,engl310_13_sil,"","","","","","","","","","",2,4,"","",""
624878,1,1,sil_ns,1,questionnaire,3,36,"",1,"","",4,hs,"",no,3,eng,no,4,"","","","",adv,c2
624878,1,1,sil_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
624881,1,1,original_ns,1,instructions,1,"","",1,"","","","","","","","","","",634850256fe8666bf380893b,"","","","",""
624881,1,2,original_ns,1,original,2,"",engl310_07_orig.wav,2,"","","","",engl310_07_orig,"","","","","","",2,4,"","",""
624881,2,4,original_ns,1,original,2,"",engl310_24_orig.wav,4,"","","","",engl310_24_orig,"","","","","","",3,3,"","",""
624881,3,1,original_ns,1,original,2,"",engl310_01_orig.wav,1,"","","","",engl310_01_orig,"","","","","","",2,3,"","",""
624881,4,3,original_ns,1,original,2,"",engl310_13_orig.wav,3,"","","","",engl310_13_orig,"","","","","","",1,4,"","",""
624881,1,1,original_ns,1,questionnaire,3,26,"",1,"","",1,hs,"",no,2,eng,no,1,"","","","",adv,none
624881,1,1,original_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
624892,1,1,original_ns,1,instructions,1,"","",1,"","","","","","","","","","",631f9323bf10815aac6f8818,"","","","",""
624892,1,1,original_ns,1,original,2,"",engl310_01_orig.wav,1,"","","","",engl310_01_orig,"","","","","","",1,1,"","",""
624892,2,2,original_ns,1,original,2,"",engl310_07_orig.wav,2,"","","","",engl310_07_orig,"","","","","","",4,2,"","",""
624892,3,3,original_ns,1,original,2,"",engl310_13_orig.wav,3,"","","","",engl310_13_orig,"","","","","","",1,4,"","",""
624892,4,4,original_ns,1,original,2,"",engl310_24_orig.wav,4,"","","","",engl310_24_orig,"","","","","","",3,4,"","",""
624892,1,1,original_ns,1,questionnaire,3,31,"",1,"","",5,hs,"",no,4,eng,no,4,"","","","",adv,none
624892,1,1,original_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
624942,1,2,nopints_ns,1,nopints,2,"",engl310_07_nopints.wav,2,"",engl310_07_nopints,"","","","","","","","","",2,2,"","",""
624942,2,4,nopints_ns,1,nopints,2,"",engl310_24_nopints.wav,4,"",engl310_24_nopints,"","","","","","","","","",3,4,"","",""
624942,3,1,nopints_ns,1,nopints,2,"",engl310_01_nopints.wav,1,"",engl310_01_nopints,"","","","","","","","","",1,3,"","",""
624942,4,3,nopints_ns,1,nopints,2,"",engl310_13_nopints.wav,3,"",engl310_13_nopints,"","","","","","","","","",1,4,"","",""
624942,1,1,nopints_ns,1,instructions,1,"","",1,"","","","","","","","","","",5dc1719878cda00c6dcf5c1e,"","","","",""
624942,1,1,nopints_ns,1,questionnaire,3,55,"",1,"","",4,hs,"",no,5,eng,no,4,"","","","",adv,none
624942,1,1,nopints_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
625173,1,1,nopints_ns,1,instructions,1,"","",1,"","","","","","","","","","",5efcb50255a06b097b8d5d29,"","","","",""
625173,1,2,nopints_ns,1,nopints,2,"",engl310_07_nopints.wav,2,"",engl310_07_nopints,"","","","","","","","","",4,2,"","",""
625173,2,3,nopints_ns,1,nopints,2,"",engl310_13_nopints.wav,3,"",engl310_13_nopints,"","","","","","","","","",1,4,"","",""
625173,3,1,nopints_ns,1,nopints,2,"",engl310_01_nopints.wav,1,"",engl310_01_nopints,"","","","","","","","","",1,1,"","",""
625173,4,4,nopints_ns,1,nopints,2,"",engl310_24_nopints.wav,4,"",engl310_24_nopints,"","","","","","","","","",3,4,"","",""
625173,1,1,nopints_ns,1,questionnaire,3,35,"",1,"","",2,uni,"",no,3,eng,no,4,"","","","",int,none
625173,1,1,nopints_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
625320,1,1,original_ns,1,instructions,1,"","",1,"","","","","","","","","","",5b9aed646a11180001a8082e,"","","","",""
625320,1,2,original_ns,1,original,2,"",engl310_07_orig.wav,2,"","","","",engl310_07_orig,"","","","","","",4,2,"","",""
625320,2,3,original_ns,1,original,2,"",engl310_13_orig.wav,3,"","","","",engl310_13_orig,"","","","","","",1,4,"","",""
625320,3,4,original_ns,1,original,2,"",engl310_24_orig.wav,4,"","","","",engl310_24_orig,"","","","","","",3,4,"","",""
625320,4,1,original_ns,1,original,2,"",engl310_01_orig.wav,1,"","","","",engl310_01_orig,"","","","","","",1,1,"","",""
625320,1,1,original_ns,1,questionnaire,3,40,"",1,"","",3,hs,"",no,2,eng,no,2,"","","","",adv,none
625320,1,1,original_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
625301,1,2,sil_ns,1,silence,2,"",engl310_07_sil.wav,2,engl310_07_sil,"","","","","","","","","","",4,2,"","",""
625301,2,1,sil_ns,1,silence,2,"",engl310_01_sil.wav,1,engl310_01_sil,"","","","","","","","","","",1,1,"","",""
625301,3,3,sil_ns,1,silence,2,"",engl310_13_sil.wav,3,engl310_13_sil,"","","","","","","","","","",1,4,"","",""
625301,4,4,sil_ns,1,silence,2,"",engl310_24_sil.wav,4,engl310_24_sil,"","","","","","","","","","",2,3,"","",""
625301,1,1,sil_ns,1,instructions,1,"","",1,"","","","","","","","","","",60d332d15ea0b41e6603bba3,"","","","",""
625301,1,1,sil_ns,1,questionnaire,3,24,"",1,"","",2,uni,"",no,1,eng,no,2,"","","","",adv,none
625301,1,1,sil_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
625302,1,1,original_ns,1,instructions,1,"","",1,"","","","","","","","","","",5acca930a3ba7a0001b500fa,"","","","",""
625302,1,3,original_ns,1,original,2,"",engl310_13_orig.wav,3,"","","","",engl310_13_orig,"","","","","","",1,4,"","",""
625302,2,2,original_ns,1,original,2,"",engl310_07_orig.wav,2,"","","","",engl310_07_orig,"","","","","","",4,2,"","",""
625302,3,1,original_ns,1,original,2,"",engl310_01_orig.wav,1,"","","","",engl310_01_orig,"","","","","","",1,1,"","",""
625302,4,4,original_ns,1,original,2,"",engl310_24_orig.wav,4,"","","","",engl310_24_orig,"","","","","","",3,4,"","",""
625302,1,1,original_ns,1,questionnaire,3,38,"",1,"","",3,hs,"",no,1,eng,no,4,"","","","",adv,none
625302,1,1,original_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
625308,1,1,original_ns,1,instructions,1,"","",1,"","","","","","","","","","",5e6473fbc15dbe1f71eea95b,"","","","",""
625308,1,3,original_ns,1,original,2,"",engl310_13_orig.wav,3,"","","","",engl310_13_orig,"","","","","","",2,4,"","",""
625308,2,2,original_ns,1,original,2,"",engl310_07_orig.wav,2,"","","","",engl310_07_orig,"","","","","","",4,2,"","",""
625308,3,1,original_ns,1,original,2,"",engl310_01_orig.wav,1,"","","","",engl310_01_orig,"","","","","","",1,1,"","",""
625308,4,4,original_ns,1,original,2,"",engl310_24_orig.wav,4,"","","","",engl310_24_orig,"","","","","","",4,4,"","",""
625308,1,1,original_ns,1,questionnaire,3,41,"",1,"","",3,uni,"",no,4,eng,no,4,"","","","",adv,none
625308,1,1,original_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
625315,1,1,original_ns,1,instructions,1,"","",1,"","","","","","","","","","",5efa358d3b02ed8465b9a726,"","","","",""
625315,1,4,original_ns,1,original,2,"",engl310_24_orig.wav,4,"","","","",engl310_24_orig,"","","","","","",3,4,"","",""
625315,2,3,original_ns,1,original,2,"",engl310_13_orig.wav,3,"","","","",engl310_13_orig,"","","","","","",1,4,"","",""
625315,3,1,original_ns,1,original,2,"",engl310_01_orig.wav,1,"","","","",engl310_01_orig,"","","","","","",1,1,"","",""
625315,4,2,original_ns,1,original,2,"",engl310_07_orig.wav,2,"","","","",engl310_07_orig,"","","","","","",4,2,"","",""
625315,1,1,original_ns,1,questionnaire,3,48,"",1,"","",2,uni,"",no,1,eng,no,1,"","","","",adv,none
625315,1,1,original_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
625322,1,1,original_ns,1,instructions,1,"","",1,"","","","","","","","","","",5c61d9cd6f57a000014a8fc4,"","","","",""
625322,1,2,original_ns,1,original,2,"",engl310_07_orig.wav,2,"","","","",engl310_07_orig,"","","","","","",2,4,"","",""
625322,2,3,original_ns,1,original,2,"",engl310_13_orig.wav,3,"","","","",engl310_13_orig,"","","","","","",1,4,"","",""
625322,3,4,original_ns,1,original,2,"",engl310_24_orig.wav,4,"","","","",engl310_24_orig,"","","","","","",1,3,"","",""
625322,4,1,original_ns,1,original,2,"",engl310_01_orig.wav,1,"","","","",engl310_01_orig,"","","","","","",2,1,"","",""
625322,1,1,original_ns,1,questionnaire,3,28,"",1,"","",2,uni,"",no,1,eng,no,1,"","","","",adv,none
625322,1,1,original_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
625297,1,1,sil_ns,1,instructions,1,"","",1,"","","","","","","","","","",5e54309f0a98c705f68ae8a8,"","","","",""
625297,1,1,sil_ns,1,silence,2,"",engl310_01_sil.wav,1,engl310_01_sil,"","","","","","","","","","",1,3,"","",""
625297,2,3,sil_ns,1,silence,2,"",engl310_13_sil.wav,3,engl310_13_sil,"","","","","","","","","","",1,4,"","",""
625297,3,4,sil_ns,1,silence,2,"",engl310_24_sil.wav,4,engl310_24_sil,"","","","","","","","","","",2,4,"","",""
625297,4,2,sil_ns,1,silence,2,"",engl310_07_sil.wav,2,engl310_07_sil,"","","","","","","","","","",4,4,"","",""
625297,1,1,sil_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
625297,1,1,sil_ns,1,questionnaire,3,42,"",1,"","",3,uni,"",no,1,eng,no,2,"","","","",adv,none
625298,1,1,original_ns,1,instructions,1,"","",1,"","","","","","","","","","",5e3891a0ffe78b000a8a4124,"","","","",""
625298,1,2,original_ns,1,original,2,"",engl310_07_orig.wav,2,"","","","",engl310_07_orig,"","","","","","",4,2,"","",""
625298,2,3,original_ns,1,original,2,"",engl310_13_orig.wav,3,"","","","",engl310_13_orig,"","","","","","",1,4,"","",""
625298,3,1,original_ns,1,original,2,"",engl310_01_orig.wav,1,"","","","",engl310_01_orig,"","","","","","",1,1,"","",""
625298,4,4,original_ns,1,original,2,"",engl310_24_orig.wav,4,"","","","",engl310_24_orig,"","","","","","",1,4,"","",""
625298,1,1,original_ns,1,questionnaire,3,54,"",1,"","",2,uni,"",no,2,eng,no,2,"","","","",adv,none
625298,1,1,original_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
625299,1,1,nopints_ns,1,instructions,1,"","",1,"","","","","","","","","","",5dd1ecdbb103ee2422c36429,"","","","",""
625299,1,3,nopints_ns,1,nopints,2,"",engl310_13_nopints.wav,3,"",engl310_13_nopints,"","","","","","","","","",1,4,"","",""
625299,2,4,nopints_ns,1,nopints,2,"",engl310_24_nopints.wav,4,"",engl310_24_nopints,"","","","","","","","","",3,4,"","",""
625299,3,1,nopints_ns,1,nopints,2,"",engl310_01_nopints.wav,1,"",engl310_01_nopints,"","","","","","","","","",2,3,"","",""
625299,4,2,nopints_ns,1,nopints,2,"",engl310_07_nopints.wav,2,"",engl310_07_nopints,"","","","","","","","","",2,4,"","",""
625299,1,1,nopints_ns,1,questionnaire,3,43,"",1,"","",3,hs,"",no,4,eng,no,2,"","","","",adv,none
625299,1,1,nopints_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
625300,1,1,nopints_ns,1,instructions,1,"","",1,"","","","","","","","","","",592c46c1a03e4600010af25f,"","","","",""
625300,1,4,nopints_ns,1,nopints,2,"",engl310_24_nopints.wav,4,"",engl310_24_nopints,"","","","","","","","","",3,4,"","",""
625300,2,3,nopints_ns,1,nopints,2,"",engl310_13_nopints.wav,3,"",engl310_13_nopints,"","","","","","","","","",1,4,"","",""
625300,3,1,nopints_ns,1,nopints,2,"",engl310_01_nopints.wav,1,"",engl310_01_nopints,"","","","","","","","","",1,1,"","",""
625300,4,2,nopints_ns,1,nopints,2,"",engl310_07_nopints.wav,2,"",engl310_07_nopints,"","","","","","","","","",4,2,"","",""
625300,1,1,nopints_ns,1,questionnaire,3,24,"",1,"","",5,hs,"",no,1,eng,no,4,"","","","",adv,none
625300,1,1,nopints_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
625303,1,1,original_ns,1,instructions,1,"","",1,"","","","","","","","","","",56b12c0e9f1826000cbcc76c,"","","","",""
625303,1,4,original_ns,1,original,2,"",engl310_24_orig.wav,4,"","","","",engl310_24_orig,"","","","","","",3,4,"","",""
625303,2,2,original_ns,1,original,2,"",engl310_07_orig.wav,2,"","","","",engl310_07_orig,"","","","","","",4,2,"","",""
625303,3,3,original_ns,1,original,2,"",engl310_13_orig.wav,3,"","","","",engl310_13_orig,"","","","","","",2,4,"","",""
625303,4,1,original_ns,1,original,2,"",engl310_01_orig.wav,1,"","","","",engl310_01_orig,"","","","","","",1,1,"","",""
625303,1,1,original_ns,1,questionnaire,3,34,"",1,"","",4,hs,"",no,2,eng,no,2,"","","","",adv,none
625303,1,1,original_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
625304,1,1,nopints_ns,1,instructions,1,"","",1,"","","","","","","","","","",5bc690392885710001a0bb76,"","","","",""
625304,1,3,nopints_ns,1,nopints,2,"",engl310_13_nopints.wav,3,"",engl310_13_nopints,"","","","","","","","","",2,4,"","",""
625304,2,4,nopints_ns,1,nopints,2,"",engl310_24_nopints.wav,4,"",engl310_24_nopints,"","","","","","","","","",3,4,"","",""
625304,3,1,nopints_ns,1,nopints,2,"",engl310_01_nopints.wav,1,"",engl310_01_nopints,"","","","","","","","","",1,1,"","",""
625304,4,2,nopints_ns,1,nopints,2,"",engl310_07_nopints.wav,2,"",engl310_07_nopints,"","","","","","","","","",4,2,"","",""
625304,1,1,nopints_ns,1,questionnaire,3,57,"",1,"","",4,hs,"",no,2,eng,no,4,"","","","",adv,none
625304,1,1,nopints_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
625305,1,1,sil_ns,1,instructions,1,"","",1,"","","","","","","","","","",5c2ebf3e626018000134986f,"","","","",""
625305,1,1,sil_ns,1,silence,2,"",engl310_01_sil.wav,1,engl310_01_sil,"","","","","","","","","","",1,3,"","",""
625305,2,3,sil_ns,1,silence,2,"",engl310_13_sil.wav,3,engl310_13_sil,"","","","","","","","","","",1,4,"","",""
625305,3,4,sil_ns,1,silence,2,"",engl310_24_sil.wav,4,engl310_24_sil,"","","","","","","","","","",2,4,"","",""
625305,4,2,sil_ns,1,silence,2,"",engl310_07_sil.wav,2,engl310_07_sil,"","","","","","","","","","",4,2,"","",""
625305,1,1,sil_ns,1,questionnaire,3,41,"",1,"","",4,uni,"",no,5,eng,no,5,"","","","",adv,none
625305,1,1,sil_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
625306,1,3,sil_ns,1,silence,2,"",engl310_13_sil.wav,3,engl310_13_sil,"","","","","","","","","","",1,4,"","",""
625306,2,4,sil_ns,1,silence,2,"",engl310_24_sil.wav,4,engl310_24_sil,"","","","","","","","","","",4,4,"","",""
